Date,Ticker,Close,High,Low,Open,Volume
2020-01-02,AAPL,72.62084197998047,72.68128882574726,71.37321819790198,71.62709199861638,135480400.0
2020-01-02,AMZN,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000.0
2020-01-02,GOOG,67.96450805664062,68.0027784959496,66.68113625378123,66.68113625378123,28132000.0
2020-01-02,GOOGL,68.0260238647461,68.0260238647461,66.92314114168889,67.01856949811031,27278000.0
2020-01-02,META,208.79592895507812,208.80587657807078,205.30239969610878,205.780143782338,12077100.0
2020-01-02,MSFT,153.0423126220703,153.14712365624922,150.86035596005522,151.28912308572728,22622100.0
2020-01-02,NVDA,5.972161769866943,5.972161769866943,5.892752419133898,5.943285685491549,237536000.0
2020-01-02,TSLA,28.68400001525879,28.713333129882812,28.11400032043457,28.299999237060547,142981500.0
2020-01-03,AAPL,71.914794921875,72.67642344169198,71.68993450360992,71.84709477297488,146322800.0
2020-01-03,AMZN,93.74849700927734,94.30999755859375,93.2249984741211,93.2249984741211,75288000.0
2020-01-03,GOOG,67.63098907470703,68.21949378904033,66.87965675921359,66.99477145157972,23728000.0
2020-01-03,GOOGL,67.67015075683594,68.27800878406994,66.96438444234923,66.99818593237907,23408000.0
2020-01-03,META,207.691162109375,209.41304271631276,205.9792291267133,206.2380192300166,11188400.0
2020-01-03,MSFT,151.13665771484375,152.4039130274651,150.60307959140601,150.8508226765117,21116200.0
2020-01-03,NVDA,5.876570224761963,5.920382646555774,5.8275302249248035,5.852423657189531,205384000.0
2020-01-03,TSLA,29.534000396728516,30.266666412353516,29.128000259399414,29.366666793823242,266677500.0
2020-01-06,AAPL,72.48785400390625,72.52654087038833,70.78325591626742,71.03471685901826,118387200.0
2020-01-06,AMZN,95.14399719238281,95.18450164794922,93.0,93.0,81236000.0
2020-01-06,GOOG,69.29857635498047,69.41239412040363,67.10113580957623,67.10113580957623,34646000.0
2020-01-06,GOOGL,69.47384643554688,69.499191867548,67.14729959032974,67.17860597671533,46768000.0
2020-01-06,META,211.6027069091797,211.78185524561292,205.55122615410616,205.7303744905394,17058900.0
2020-01-06,MSFT,151.5272979736328,151.59400249956286,149.12618220164597,149.66929777937992,20813700.0
2020-01-06,NVDA,5.901215553283691,5.906443132361434,5.75708345882432,5.783221354213032,262636000.0
2020-01-06,TSLA,30.1026668548584,30.104000091552734,29.333332061767578,29.364667892456055,151995000.0
2020-01-07,AAPL,72.1469497680664,72.75383115765004,71.92692233659784,72.49753708995398,108872000.0
2020-01-07,AMZN,95.34300231933594,95.69450378417969,94.60199737548828,95.2249984741211,80898000.0
2020-01-07,GOOG,69.25534057617188,69.73498768463804,69.1082124926651,69.48398485337579,30054000.0
2020-01-07,GOOGL,69.33964538574219,69.75664673328069,69.16320569581798,69.60555247399162,34330000.0
2020-01-07,META,212.060546875,213.57342090562022,210.75669443031993,211.82168241930964,14912400.0
2020-01-07,MSFT,150.14572143554688,152.13711630992105,149.89799290182077,151.8036372690105,21634100.0
2020-01-07,NVDA,5.972660064697266,6.018463821694809,5.884537603686684,5.929594495787138,314856000.0
2020-01-07,TSLA,31.270666122436523,31.441999435424805,30.224000930786133,30.760000228881836,268231500.0
2020-01-08,AAPL,73.3074951171875,73.60972925472043,71.84951793287918,71.84951793287918,132079200.0
2020-01-08,AMZN,94.59850311279297,95.55000305175781,94.3219985961914,94.9020004272461,70160000.0
2020-01-08,GOOG,69.80109405517578,70.16194804120731,69.13107317016384,69.19270329039529,30560000.0
2020-01-08,GOOGL,69.83318328857422,70.17165323614945,69.21638380759072,69.32522809814863,35314000.0
2020-01-08,META,214.21041870117188,215.22563820234075,211.61266142776498,212.00083135656322,13475000.0
2020-01-08,MSFT,152.53729248046875,153.21380259511494,150.4982536880769,151.43201531179338,27746500.0
2020-01-08,NVDA,5.983861923217773,6.025184964493922,5.928349873697572,5.9684279819120185,277108000.0
2020-01-08,TSLA,32.80933380126953,33.232666015625,31.215333938598633,31.579999923706055,467164500.0
2020-01-09,AAPL,74.8646240234375,75.05805096656148,74.03529512111521,74.28674867142341,170108400.0
2020-01-09,AMZN,95.05249786376953,95.89099884033203,94.79000091552734,95.49449920654297,63346000.0
2020-01-09,GOOG,70.5719985961914,70.94478264998702,70.09681875971566,70.6087825044944,30018000.0
2020-01-09,GOOGL,70.56629180908203,71.00813806104328,70.09014352664377,70.67264858012106,33200000.0
2020-01-09,META,217.27597045898438,217.35559700611174,215.2654419088488,216.51952585487996,12642800.0
2020-01-09,MSFT,154.4429168701172,154.5667883844768,153.43292786078217,154.2047113664472,21385000.0
2020-01-09,NVDA,6.049580097198486,6.122019814933287,5.995810576233439,6.070241617025367,255112000.0
