Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,
2020-01-02,68.04620361328125,208.79592895507812,153.0423126220703,68.08452005490719,208.80587657807078,153.14712365624922,66.76128915563321,205.30239969610878,150.86035596005522,66.76128915563321,205.780143782338,151.28912308572728,28132000,12077100,22622100
2020-01-03,67.71227264404297,207.691162109375,151.1366424560547,68.30148466377585,209.41304271631276,152.40389764073367,66.9600373257516,205.9792291267133,150.60306438648712,67.07529037086411,206.2380192300166,150.8508074465806,23728000,11188400,21116200
2020-01-06,69.38188171386719,211.60272216796875,151.52728271484375,69.49583630215592,211.78187051732047,151.59398723405667,67.18179957634237,205.55124097651958,149.12616718464912,67.18179957634237,205.73038932587127,149.66928270769137,34646000,17058900,20813700
2020-01-07,69.33857727050781,212.06056213378906,150.14572143554688,69.81880085783358,213.57343627326793,152.13711630992105,69.19127235651817,210.75670959529046,149.89799290182077,69.56749635097823,211.82169766091124,151.8036372690105,30054000,14912400,21634100
2020-01-08,69.88500213623047,214.21041870117188,152.53733825683594,70.24628990579961,215.22563820234075,153.2138485745025,69.21417581732828,211.61266142776498,150.49829885252953,69.27588002329139,212.00083135656322,151.43206075646742,30560000,13475000,27746500
2020-01-09,70.65682983398438,217.27598571777344,154.44293212890625,71.03006199373336,217.35561227049277,154.56680365550426,70.18107880646254,215.26545702644307,153.43294301978545,70.69365795847132,216.51954106054566,154.20472660170185,30018000,12642800,21385000
2020-01-10,71.14950561523438,217.03709411621094,153.7283477783203,71.40822890881397,218.848563919665,155.51965837091927,70.58318772267843,216.40009691672174,153.57589271960666,71.0415118760559,218.17174585240141,155.13853526304973,36414000,12119400,20725900
2020-01-13,71.62226104736328,220.86904907226562,155.5768280029297,71.68645588790679,220.9287651891354,155.6054115095555,70.96487520274847,218.18171750264293,153.65212283627528,71.46799296355893,218.56988744950831,154.12853399859168,33046000,14463400,21626500
2020-01-14,71.20673370361328,218.0323944091797,154.4810333251953,71.75015744005867,221.336827689664,155.88168280847668,71.08182939227687,217.60441881471306,154.0903728213882,71.61131918676213,220.57043548158845,155.68158379418946,31178000,13288900,23477400
2020-01-15,71.62077331542969,220.1125946044922,155.4815216064453,71.73000479006916,220.64010719625313,156.20567579261396,71.17339126528485,219.1073379118784,154.9003140143662,71.17339126528485,219.5751343894341,154.94794349384517,25654000,10036500,21417900
2020-01-16,72.2428207397461,220.72970581054688,158.33045959472656,72.25725584682053,221.58567225354054,158.39716412587353,71.7063602218111,219.35617437738657,156.29142071509088,72.03082741028582,221.52595613683127,156.59633079076963,23474000,10015300,23865400
2020-01-17,73.67056274414062,221.09796142578125,159.216552734375,73.71559936874215,221.24725171492378,159.56909220137328,72.56729073297409,219.49551317773475,157.62532729289137,72.80068235222082,220.9884768180062,159.52144819636862,47924000,15905900,34371700
2020-01-21,73.87012481689453,220.4012451171875,158.64491271972656,74.24086640534432,221.32687527177663,160.25518473061555,73.21323244155424,218.0921207616,158.57820818014443,73.60736938544426,221.11786886980354,158.81641375479867,40734000,14275800,29517200
